+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |600 |       NEW |     READY |
|                 0 |601 |       NEW |     READY |
|                 0 |602 |       NEW |     READY |
|                 0 |602 |     READY |   RUNNING |
|                 5 |602 |   RUNNING |   WAITING |
|                 5 |601 |     READY |   RUNNING |
|                10 |601 |   RUNNING |   WAITING |
|                10 |600 |     READY |   RUNNING |
|                15 |600 |   RUNNING |   WAITING |
|                15 |602 |   WAITING |     READY |
|                15 |602 |     READY |   RUNNING |
|                20 |602 |   RUNNING |   WAITING |
|                20 |601 |   WAITING |     READY |
|                20 |601 |     READY |   RUNNING |
|                25 |601 |   RUNNING |   WAITING |
|                25 |600 |   WAITING |     READY |
|                25 |600 |     READY |   RUNNING |
|                30 |600 |   RUNNING |   WAITING |
|                30 |602 |   WAITING |     READY |
|                30 |602 |     READY |   RUNNING |
|                35 |602 |   RUNNING |   WAITING |
|                35 |601 |   WAITING |     READY |
|                35 |601 |     READY |   RUNNING |
|                40 |601 |   RUNNING |   WAITING |
|                40 |600 |   WAITING |     READY |
|                40 |600 |     READY |   RUNNING |
|                45 |600 |   RUNNING |   WAITING |
|                45 |602 |   WAITING |     READY |
|                45 |602 |     READY |   RUNNING |
|                50 |602 |   RUNNING |   WAITING |
|                50 |601 |   WAITING |     READY |
|                50 |601 |     READY |   RUNNING |
|                55 |601 |   RUNNING |   WAITING |
|                55 |600 |   WAITING |     READY |
|                55 |600 |     READY |   RUNNING |
|                60 |600 |   RUNNING |   WAITING |
|                60 |602 |   WAITING |     READY |
|                60 |602 |     READY |   RUNNING |
|                65 |602 |   RUNNING |   WAITING |
|                65 |601 |   WAITING |     READY |
|                65 |601 |     READY |   RUNNING |
|                70 |601 |   RUNNING |   WAITING |
|                70 |600 |   WAITING |     READY |
|                70 |600 |     READY |   RUNNING |
|                75 |600 |   RUNNING |   WAITING |
|                75 |602 |   WAITING |     READY |
|                75 |602 |     READY |   RUNNING |
|                80 |602 |   RUNNING |   WAITING |
|                80 |601 |   WAITING |     READY |
|                80 |601 |     READY |   RUNNING |
|                85 |601 |   RUNNING |   WAITING |
|                85 |600 |   WAITING |     READY |
|                85 |600 |     READY |   RUNNING |
|                90 |600 |   RUNNING |   WAITING |
|                90 |602 |   WAITING |     READY |
|                90 |602 |     READY |   RUNNING |
|                95 |602 |   RUNNING |   WAITING |
|                95 |601 |   WAITING |     READY |
|                95 |601 |     READY |   RUNNING |
|               100 |601 |   RUNNING |   WAITING |
|               100 |600 |   WAITING |     READY |
|               100 |600 |     READY |   RUNNING |
|               105 |600 |   RUNNING |   WAITING |
|               105 |602 |   WAITING |     READY |
|               105 |602 |     READY |   RUNNING |
|               110 |602 |   RUNNING |   WAITING |
|               110 |601 |   WAITING |     READY |
|               110 |601 |     READY |   RUNNING |
|               115 |601 |   RUNNING |   WAITING |
|               115 |600 |   WAITING |     READY |
|               115 |600 |     READY |   RUNNING |
|               120 |600 |   RUNNING |   WAITING |
|               120 |602 |   WAITING |     READY |
|               120 |602 |     READY |   RUNNING |
|               125 |602 |   RUNNING |   WAITING |
|               125 |601 |   WAITING |     READY |
|               125 |601 |     READY |   RUNNING |
|               130 |601 |   RUNNING |   WAITING |
|               130 |600 |   WAITING |     READY |
|               130 |600 |     READY |   RUNNING |
|               135 |600 |   RUNNING |   WAITING |
|               135 |602 |   WAITING |     READY |
|               135 |602 |     READY |   RUNNING |
|               140 |602 |   RUNNING |   WAITING |
|               140 |601 |   WAITING |     READY |
|               140 |601 |     READY |   RUNNING |
|               145 |601 |   RUNNING |   WAITING |
|               145 |600 |   WAITING |     READY |
|               145 |600 |     READY |   RUNNING |
|               150 |600 |   RUNNING |   WAITING |
|               150 |602 |   WAITING |     READY |
|               150 |602 |     READY |   RUNNING |
|               155 |602 |   RUNNING |   WAITING |
|               155 |601 |   WAITING |     READY |
|               155 |601 |     READY |   RUNNING |
|               160 |601 |   RUNNING |   WAITING |
|               160 |600 |   WAITING |     READY |
|               160 |600 |     READY |   RUNNING |
|               165 |600 |   RUNNING |   WAITING |
|               165 |602 |   WAITING |     READY |
|               165 |602 |     READY |   RUNNING |
|               170 |602 |   RUNNING |   WAITING |
|               170 |601 |   WAITING |     READY |
|               170 |601 |     READY |   RUNNING |
|               175 |601 |   RUNNING |   WAITING |
|               175 |600 |   WAITING |     READY |
|               175 |600 |     READY |   RUNNING |
|               180 |600 |   RUNNING |   WAITING |
|               180 |602 |   WAITING |     READY |
|               180 |602 |     READY |   RUNNING |
|               185 |602 |   RUNNING |   WAITING |
|               185 |601 |   WAITING |     READY |
|               185 |601 |     READY |   RUNNING |
|               190 |601 |   RUNNING |   WAITING |
|               190 |600 |   WAITING |     READY |
|               190 |600 |     READY |   RUNNING |
|               195 |600 |   RUNNING |   WAITING |
|               195 |602 |   WAITING |     READY |
|               195 |602 |     READY |   RUNNING |
|               200 |602 |   RUNNING |   WAITING |
|               200 |601 |   WAITING |     READY |
|               200 |601 |     READY |   RUNNING |
|               205 |601 |   RUNNING |   WAITING |
|               205 |600 |   WAITING |     READY |
|               205 |600 |     READY |   RUNNING |
|               210 |600 |   RUNNING |   WAITING |
|               210 |602 |   WAITING |     READY |
|               210 |602 |     READY |   RUNNING |
|               215 |602 |   RUNNING |   WAITING |
|               215 |601 |   WAITING |     READY |
|               215 |601 |     READY |   RUNNING |
|               220 |601 |   RUNNING |   WAITING |
|               220 |600 |   WAITING |     READY |
|               220 |600 |     READY |   RUNNING |
|               225 |600 |   RUNNING |   WAITING |
|               225 |602 |   WAITING |     READY |
|               225 |602 |     READY |   RUNNING |
|               230 |602 |   RUNNING |   WAITING |
|               230 |601 |   WAITING |     READY |
|               230 |601 |     READY |   RUNNING |
|               235 |601 |   RUNNING |   WAITING |
|               235 |600 |   WAITING |     READY |
|               235 |600 |     READY |   RUNNING |
|               240 |600 |   RUNNING |   WAITING |
|               240 |602 |   WAITING |     READY |
|               240 |602 |     READY |   RUNNING |
|               245 |602 |   RUNNING |   WAITING |
|               245 |601 |   WAITING |     READY |
|               245 |601 |     READY |   RUNNING |
|               250 |601 |   RUNNING |   WAITING |
|               250 |600 |   WAITING |     READY |
|               250 |600 |     READY |   RUNNING |
|               255 |600 |   RUNNING |   WAITING |
|               255 |602 |   WAITING |     READY |
|               255 |602 |     READY |   RUNNING |
|               260 |602 |   RUNNING |   WAITING |
|               260 |601 |   WAITING |     READY |
|               260 |601 |     READY |   RUNNING |
|               265 |601 |   RUNNING |   WAITING |
|               265 |600 |   WAITING |     READY |
|               265 |600 |     READY |   RUNNING |
|               270 |600 |   RUNNING |   WAITING |
|               270 |602 |   WAITING |     READY |
|               270 |602 |     READY |   RUNNING |
|               275 |602 |   RUNNING |   WAITING |
|               275 |601 |   WAITING |     READY |
|               275 |601 |     READY |   RUNNING |
|               280 |601 |   RUNNING |   WAITING |
|               280 |600 |   WAITING |     READY |
|               280 |600 |     READY |   RUNNING |
|               285 |600 |   RUNNING |   WAITING |
|               285 |602 |   WAITING |     READY |
|               285 |602 |     READY |   RUNNING |
|               290 |602 |   RUNNING |TERMINATED |
|               290 |601 |   WAITING |     READY |
|               290 |601 |     READY |   RUNNING |
|               295 |601 |   RUNNING |TERMINATED |
|               295 |600 |   WAITING |     READY |
|               295 |600 |     READY |   RUNNING |
|               300 |600 |   RUNNING |TERMINATED |
+------------------------------------------------+

Calculations: 
Throughput: 0.01
Average Turnaround Time: 295
Average Wait Time: 195
Average Response Time: 1

MEMORY STATUS @ time 300 ms
-----------------------------------------
Partition 1 (40 MB): FREE
Partition 2 (25 MB): FREE
Partition 3 (15 MB): FREE
Partition 4 (10 MB): FREE
Partition 5 (8 MB): FREE
Partition 6 (2 MB): FREE

Total memory used: 0 MB
Total memory free: 100 MB
Usable free memory: 100 MB
-----------------------------------------

