+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |600 |       NEW |     READY |
|                 0 |601 |       NEW |     READY |
|                 0 |602 |       NEW |     READY |
|                 0 |600 |     READY |   RUNNING |
|                 5 |600 |   RUNNING |   WAITING |
|                 5 |601 |     READY |   RUNNING |
|                10 |601 |   RUNNING |   WAITING |
|                10 |602 |     READY |   RUNNING |
|                15 |602 |   RUNNING |   WAITING |
|                15 |600 |   WAITING |     READY |
|                15 |600 |     READY |   RUNNING |
|                20 |600 |   RUNNING |   WAITING |
|                20 |601 |   WAITING |     READY |
|                20 |601 |     READY |   RUNNING |
|                25 |601 |   RUNNING |   WAITING |
|                25 |602 |   WAITING |     READY |
|                25 |602 |     READY |   RUNNING |
|                30 |602 |   RUNNING |   WAITING |
|                30 |600 |   WAITING |     READY |
|                30 |600 |     READY |   RUNNING |
|                35 |600 |   RUNNING |   WAITING |
|                35 |601 |   WAITING |     READY |
|                35 |601 |     READY |   RUNNING |
|                40 |601 |   RUNNING |   WAITING |
|                40 |602 |   WAITING |     READY |
|                40 |602 |     READY |   RUNNING |
|                45 |602 |   RUNNING |   WAITING |
|                45 |600 |   WAITING |     READY |
|                45 |600 |     READY |   RUNNING |
|                50 |600 |   RUNNING |   WAITING |
|                50 |601 |   WAITING |     READY |
|                50 |601 |     READY |   RUNNING |
|                55 |601 |   RUNNING |   WAITING |
|                55 |602 |   WAITING |     READY |
|                55 |602 |     READY |   RUNNING |
|                60 |602 |   RUNNING |   WAITING |
|                60 |600 |   WAITING |     READY |
|                60 |600 |     READY |   RUNNING |
|                65 |600 |   RUNNING |   WAITING |
|                65 |601 |   WAITING |     READY |
|                65 |601 |     READY |   RUNNING |
|                70 |601 |   RUNNING |   WAITING |
|                70 |602 |   WAITING |     READY |
|                70 |602 |     READY |   RUNNING |
|                75 |602 |   RUNNING |   WAITING |
|                75 |600 |   WAITING |     READY |
|                75 |600 |     READY |   RUNNING |
|                80 |600 |   RUNNING |   WAITING |
|                80 |601 |   WAITING |     READY |
|                80 |601 |     READY |   RUNNING |
|                85 |601 |   RUNNING |   WAITING |
|                85 |602 |   WAITING |     READY |
|                85 |602 |     READY |   RUNNING |
|                90 |602 |   RUNNING |   WAITING |
|                90 |600 |   WAITING |     READY |
|                90 |600 |     READY |   RUNNING |
|                95 |600 |   RUNNING |   WAITING |
|                95 |601 |   WAITING |     READY |
|                95 |601 |     READY |   RUNNING |
|               100 |601 |   RUNNING |   WAITING |
|               100 |602 |   WAITING |     READY |
|               100 |602 |     READY |   RUNNING |
|               105 |602 |   RUNNING |   WAITING |
|               105 |600 |   WAITING |     READY |
|               105 |600 |     READY |   RUNNING |
|               110 |600 |   RUNNING |   WAITING |
|               110 |601 |   WAITING |     READY |
|               110 |601 |     READY |   RUNNING |
|               115 |601 |   RUNNING |   WAITING |
|               115 |602 |   WAITING |     READY |
|               115 |602 |     READY |   RUNNING |
|               120 |602 |   RUNNING |   WAITING |
|               120 |600 |   WAITING |     READY |
|               120 |600 |     READY |   RUNNING |
|               125 |600 |   RUNNING |   WAITING |
|               125 |601 |   WAITING |     READY |
|               125 |601 |     READY |   RUNNING |
|               130 |601 |   RUNNING |   WAITING |
|               130 |602 |   WAITING |     READY |
|               130 |602 |     READY |   RUNNING |
|               135 |602 |   RUNNING |   WAITING |
|               135 |600 |   WAITING |     READY |
|               135 |600 |     READY |   RUNNING |
|               140 |600 |   RUNNING |   WAITING |
|               140 |601 |   WAITING |     READY |
|               140 |601 |     READY |   RUNNING |
|               145 |601 |   RUNNING |   WAITING |
|               145 |602 |   WAITING |     READY |
|               145 |602 |     READY |   RUNNING |
|               150 |602 |   RUNNING |   WAITING |
|               150 |600 |   WAITING |     READY |
|               150 |600 |     READY |   RUNNING |
|               155 |600 |   RUNNING |   WAITING |
|               155 |601 |   WAITING |     READY |
|               155 |601 |     READY |   RUNNING |
|               160 |601 |   RUNNING |   WAITING |
|               160 |602 |   WAITING |     READY |
|               160 |602 |     READY |   RUNNING |
|               165 |602 |   RUNNING |   WAITING |
|               165 |600 |   WAITING |     READY |
|               165 |600 |     READY |   RUNNING |
|               170 |600 |   RUNNING |   WAITING |
|               170 |601 |   WAITING |     READY |
|               170 |601 |     READY |   RUNNING |
|               175 |601 |   RUNNING |   WAITING |
|               175 |602 |   WAITING |     READY |
|               175 |602 |     READY |   RUNNING |
|               180 |602 |   RUNNING |   WAITING |
|               180 |600 |   WAITING |     READY |
|               180 |600 |     READY |   RUNNING |
|               185 |600 |   RUNNING |   WAITING |
|               185 |601 |   WAITING |     READY |
|               185 |601 |     READY |   RUNNING |
|               190 |601 |   RUNNING |   WAITING |
|               190 |602 |   WAITING |     READY |
|               190 |602 |     READY |   RUNNING |
|               195 |602 |   RUNNING |   WAITING |
|               195 |600 |   WAITING |     READY |
|               195 |600 |     READY |   RUNNING |
|               200 |600 |   RUNNING |   WAITING |
|               200 |601 |   WAITING |     READY |
|               200 |601 |     READY |   RUNNING |
|               205 |601 |   RUNNING |   WAITING |
|               205 |602 |   WAITING |     READY |
|               205 |602 |     READY |   RUNNING |
|               210 |602 |   RUNNING |   WAITING |
|               210 |600 |   WAITING |     READY |
|               210 |600 |     READY |   RUNNING |
|               215 |600 |   RUNNING |   WAITING |
|               215 |601 |   WAITING |     READY |
|               215 |601 |     READY |   RUNNING |
|               220 |601 |   RUNNING |   WAITING |
|               220 |602 |   WAITING |     READY |
|               220 |602 |     READY |   RUNNING |
|               225 |602 |   RUNNING |   WAITING |
|               225 |600 |   WAITING |     READY |
|               225 |600 |     READY |   RUNNING |
|               230 |600 |   RUNNING |   WAITING |
|               230 |601 |   WAITING |     READY |
|               230 |601 |     READY |   RUNNING |
|               235 |601 |   RUNNING |   WAITING |
|               235 |602 |   WAITING |     READY |
|               235 |602 |     READY |   RUNNING |
|               240 |602 |   RUNNING |   WAITING |
|               240 |600 |   WAITING |     READY |
|               240 |600 |     READY |   RUNNING |
|               245 |600 |   RUNNING |   WAITING |
|               245 |601 |   WAITING |     READY |
|               245 |601 |     READY |   RUNNING |
|               250 |601 |   RUNNING |   WAITING |
|               250 |602 |   WAITING |     READY |
|               250 |602 |     READY |   RUNNING |
|               255 |602 |   RUNNING |   WAITING |
|               255 |600 |   WAITING |     READY |
|               255 |600 |     READY |   RUNNING |
|               260 |600 |   RUNNING |   WAITING |
|               260 |601 |   WAITING |     READY |
|               260 |601 |     READY |   RUNNING |
|               265 |601 |   RUNNING |   WAITING |
|               265 |602 |   WAITING |     READY |
|               265 |602 |     READY |   RUNNING |
|               270 |602 |   RUNNING |   WAITING |
|               270 |600 |   WAITING |     READY |
|               270 |600 |     READY |   RUNNING |
|               275 |600 |   RUNNING |   WAITING |
|               275 |601 |   WAITING |     READY |
|               275 |601 |     READY |   RUNNING |
|               280 |601 |   RUNNING |   WAITING |
|               280 |602 |   WAITING |     READY |
|               280 |602 |     READY |   RUNNING |
|               285 |602 |   RUNNING |   WAITING |
|               285 |600 |   WAITING |     READY |
|               285 |600 |     READY |   RUNNING |
|               290 |600 |   RUNNING |TERMINATED |
|               290 |601 |   WAITING |     READY |
|               290 |601 |     READY |   RUNNING |
|               295 |601 |   RUNNING |TERMINATED |
|               295 |602 |   WAITING |     READY |
|               295 |602 |     READY |   RUNNING |
|               300 |602 |   RUNNING |TERMINATED |
+------------------------------------------------+
