+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |100 |       NEW |     READY |
|                 0 |101 |       NEW |     READY |
|                 0 |102 |       NEW |     READY |
|                 0 |103 |       NEW |     READY |
|                 0 |104 |       NEW |     READY |
|                 0 |105 |       NEW |     READY |
|                 0 |105 |     READY |   RUNNING |
|                 4 |105 |   RUNNING |   WAITING |
|                 4 |104 |     READY |   RUNNING |
|                 6 |105 |   WAITING |     READY |
|                44 |104 |   RUNNING |TERMINATED |
|                44 |105 |     READY |   RUNNING |
|                48 |105 |   RUNNING |   WAITING |
|                48 |103 |     READY |   RUNNING |
|                50 |105 |   WAITING |     READY |
|                56 |103 |   RUNNING |   WAITING |
|                56 |105 |     READY |   RUNNING |
|                59 |103 |   WAITING |     READY |
|                60 |105 |   RUNNING |   WAITING |
|                60 |103 |     READY |   RUNNING |
|                62 |105 |   WAITING |     READY |
|                68 |103 |   RUNNING |   WAITING |
|                68 |105 |     READY |   RUNNING |
|                71 |103 |   WAITING |     READY |
|                72 |105 |   RUNNING |   WAITING |
|                72 |103 |     READY |   RUNNING |
|                74 |105 |   WAITING |     READY |
|                80 |103 |   RUNNING |   WAITING |
|                80 |105 |     READY |   RUNNING |
|                83 |103 |   WAITING |     READY |
|                84 |105 |   RUNNING |TERMINATED |
|                84 |103 |     READY |   RUNNING |
|                92 |103 |   RUNNING |   WAITING |
|                92 |102 |     READY |   RUNNING |
|                95 |103 |   WAITING |     READY |
|               172 |102 |   RUNNING |TERMINATED |
|               172 |103 |     READY |   RUNNING |
|               180 |103 |   RUNNING |   WAITING |
|               180 |101 |     READY |   RUNNING |
|               183 |103 |   WAITING |     READY |
|               185 |101 |   RUNNING |   WAITING |
|               185 |103 |     READY |   RUNNING |
|               190 |101 |   WAITING |     READY |
|               193 |103 |   RUNNING |   WAITING |
|               193 |101 |     READY |   RUNNING |
|               196 |103 |   WAITING |     READY |
|               198 |101 |   RUNNING |   WAITING |
|               198 |103 |     READY |   RUNNING |
|               203 |101 |   WAITING |     READY |
|               206 |103 |   RUNNING |   WAITING |
|               206 |101 |     READY |   RUNNING |
|               209 |103 |   WAITING |     READY |
|               211 |101 |   RUNNING |   WAITING |
|               211 |103 |     READY |   RUNNING |
|               215 |103 |   RUNNING |TERMINATED |
|               215 |100 |     READY |   RUNNING |
|               216 |101 |   WAITING |     READY |
|               225 |100 |   RUNNING |   WAITING |
|               225 |101 |     READY |   RUNNING |
|               230 |101 |   RUNNING |   WAITING |
|               230 |100 |   WAITING |     READY |
|               230 |100 |     READY |   RUNNING |
|               235 |101 |   WAITING |     READY |
|               240 |100 |   RUNNING |   WAITING |
|               240 |101 |     READY |   RUNNING |
|               245 |101 |   RUNNING |   WAITING |
|               245 |100 |   WAITING |     READY |
|               245 |100 |     READY |   RUNNING |
|               250 |101 |   WAITING |     READY |
|               255 |100 |   RUNNING |   WAITING |
|               255 |101 |     READY |   RUNNING |
|               260 |101 |   RUNNING |   WAITING |
|               260 |100 |   WAITING |     READY |
|               260 |100 |     READY |   RUNNING |
|               265 |101 |   WAITING |     READY |
|               270 |100 |   RUNNING |   WAITING |
|               270 |101 |     READY |   RUNNING |
|               275 |101 |   RUNNING |   WAITING |
|               275 |100 |   WAITING |     READY |
|               275 |100 |     READY |   RUNNING |
|               280 |101 |   WAITING |     READY |
|               285 |100 |   RUNNING |   WAITING |
|               285 |101 |     READY |   RUNNING |
|               290 |101 |   RUNNING |   WAITING |
|               290 |100 |   WAITING |     READY |
|               290 |100 |     READY |   RUNNING |
|               295 |101 |   WAITING |     READY |
|               300 |100 |   RUNNING |   WAITING |
|               300 |101 |     READY |   RUNNING |
|               305 |101 |   RUNNING |   WAITING |
|               305 |100 |   WAITING |     READY |
|               305 |100 |     READY |   RUNNING |
|               310 |101 |   WAITING |     READY |
|               315 |100 |   RUNNING |   WAITING |
|               315 |101 |     READY |   RUNNING |
|               320 |101 |   RUNNING |   WAITING |
|               320 |100 |   WAITING |     READY |
|               320 |100 |     READY |   RUNNING |
|               325 |101 |   WAITING |     READY |
|               330 |100 |   RUNNING |   WAITING |
|               330 |101 |     READY |   RUNNING |
|               335 |101 |   RUNNING |   WAITING |
|               335 |100 |   WAITING |     READY |
|               335 |100 |     READY |   RUNNING |
|               340 |101 |   WAITING |     READY |
|               345 |100 |   RUNNING |   WAITING |
|               345 |101 |     READY |   RUNNING |
|               350 |101 |   RUNNING |   WAITING |
|               350 |100 |   WAITING |     READY |
|               350 |100 |     READY |   RUNNING |
|               355 |101 |   WAITING |     READY |
|               360 |100 |   RUNNING |   WAITING |
|               360 |101 |     READY |   RUNNING |
|               365 |101 |   RUNNING |   WAITING |
|               365 |100 |   WAITING |     READY |
|               365 |100 |     READY |   RUNNING |
|               370 |101 |   WAITING |     READY |
|               375 |100 |   RUNNING |   WAITING |
|               375 |101 |     READY |   RUNNING |
|               380 |101 |   RUNNING |   WAITING |
|               380 |100 |   WAITING |     READY |
|               380 |100 |     READY |   RUNNING |
|               385 |101 |   WAITING |     READY |
|               390 |100 |   RUNNING |TERMINATED |
|               390 |101 |     READY |   RUNNING |
|               395 |101 |   RUNNING |   WAITING |
|               400 |101 |   WAITING |     READY |
|               400 |101 |     READY |   RUNNING |
|               405 |101 |   RUNNING |   WAITING |
|               410 |101 |   WAITING |     READY |
|               410 |101 |     READY |   RUNNING |
|               415 |101 |   RUNNING |   WAITING |
|               420 |101 |   WAITING |     READY |
|               420 |101 |     READY |   RUNNING |
|               425 |101 |   RUNNING |   WAITING |
|               430 |101 |   WAITING |     READY |
|               430 |101 |     READY |   RUNNING |
|               435 |101 |   RUNNING |   WAITING |
|               440 |101 |   WAITING |     READY |
|               440 |101 |     READY |   RUNNING |
|               445 |101 |   RUNNING |TERMINATED |
+------------------------------------------------+

Calculations: 
Throughput: 0.0134831
Average Turnaround Time: 225
Average Wait Time: 155
Average Response Time: 1

MEMORY STATUS @ time 445 ms
-----------------------------------------
Partition 1 (40 MB): FREE
Partition 2 (25 MB): FREE
